name,url,current_price,original_price,discount_pct,rating,review_count
Egg Boiler 7Eggs Electric Egg Steamer And Poacher.,https://www.jumia.co.ke/generic-egg-boiler-7eggs-electric-egg-steamer-and-poacher.-325786531.html,879,2000,56,4.2,4
"Best Quality 4Pcs Set Of Stainless Aluminum Sufuria WITH Lids.,(1-4)",https://www.jumia.co.ke/generic-best-quality-4pcs-set-of-stainless-aluminum-sufuria-with-lids.1-4-284466568.html,1150,2000,43,3.5,3
"Purple Round Mosquito Net - Free Size, Polyester, Easy Assembly",https://www.jumia.co.ke/big-purple-round-mosquito-net-for-single-bed-free-size.-generic-mpg316020.html,789,1500,47,3.9,3
4pcs Duvet Comforter Set Duvet Blanket Starry Sky Bedding Set 1 Soft Microfiber Polyester Comforter 1 White Sheet 2 White Pillowcases,https://www.jumia.co.ke/generic-4pcs-duvet-comforter-set-duvet-blanket-starry-sky-bedding-set-1-soft-microfiber-polyester-comforter-1-white-sheet-2-white-pillowcases-325914993.html,1699,2500,32,3.7,3
Smartraha life RahaLife 130CM 3 Column Portable Fabric Cloth Wardrobe Wardrobe - Maroon 8 Shelves & Hanging Section,https://www.jumia.co.ke/smartraha-life-rahalife-130cm-3-column-portable-fabric-cloth-wardrobe-wardrobe-maroon-8-shelves-hanging-section-325847646.html,1739,4500,61,4.0,4
Glamstar Blender 2-IN-1 1.75L GBL-205-D (1YR WRNTY).,https://www.jumia.co.ke/glamstar-blender-2-in-1-1.75l-gbl-205-d-1yr-wrnty.-328300967.html,1499,4999,70,3.9,3
"3D Acrylic DIY Wall Clock, Silent Creative Number Clock for Living Room & Bedroom Decor",https://www.jumia.co.ke/generic-3d-acrylic-diy-wall-clock-silent-creative-number-clock-for-living-room-bedroom-decor-325093388.html,275,1327,79,4.0,4
USB Powered Remote Control 20-Color Sunset Lamp/Projector Night Light,https://www.jumia.co.ke/generic-usb-powered-remote-control-20-color-sunset-lampprojector-night-light-325747995.html,509,2010,75,4.5,4
"CYFAZA 5-Tier Metal Shoe Rack Hat Rack, Entryway Durable Storage Organizer",https://www.jumia.co.ke/cyfaza-5-tier-metal-shoe-rack-hat-rack-entryway-durable-storage-organizer-306426730.html,1600,3006,47,3.7,3
"Glamstar GFR-120S-M, 90L Single Door Fridge (1YR WRNTY).",https://www.jumia.co.ke/glamstar-gfr-120s-m-90l-single-door-fridge-1yr-wrnty.-328300921.html,13530,18999,29,4.5,4
"Smartraha life 105CM 3 Columns Portable Wardrobe - Grey, 8 Shelves, Stainless Steel Frame, Dust-Proof Fabric",https://www.jumia.co.ke/smartraha-life-105cm-3-columns-portable-wardrobe-grey-8-shelves-stainless-steel-frame-dust-proof-fabric-326499654.html,1679,4099,59,3.5,3
Electric Cooker / Single Spiral Coil Hotplate,https://www.jumia.co.ke/electric-cooker-single-spiral-coil-hotplate-generic-mpg10302390.html,743,1999,63,3.9,3
Lyons AN-2005 Electric Dry Iron Box 10s HEAT UP- 1000W Black(1YR WRTY),https://www.jumia.co.ke/lyons-an-2005-electric-dry-iron-box-10s-heat-up-1000w-black1yr-wrty-308795011.html,729,899,19,3.8,3
Ramtons RM/672 - 20lt Manual Microwave - Black (1YR WRTY),https://www.jumia.co.ke/ramtons-rm672-20lt-manual-microwave-black-1yr-wrty-177871935.html,6956,11025,37,4.4,4
Smartraha life 105CM 2 Columns Portable Fabric Cloth Wardrobe Wardrobe - Navy 6 Shelves & Hanging Section,https://www.jumia.co.ke/smartraha-life-105cm-2-columns-portable-fabric-cloth-wardrobe-wardrobe-navy-6-shelves-hanging-section-327664847.html,1569,3999,61,3.9,3
Em Bottom load Water Dispenser with Hot and Cold and Normal Water Dspenser Black Standing Design water dispenser WD07,https://www.jumia.co.ke/em-bottom-load-water-dispenser-with-hot-and-cold-and-normal-water-dspenser-black-standing-design-water-dispenser-wd07-324968591.html,6499,9999,35,3.9,3
Globalstar electric iron GS-1172,https://www.jumia.co.ke/globalstar-electric-iron-gs-1172-328076708.html,899,1668,46,3.9,3
Mythco 20-Color Sunset Lamp/Projector with Remote Control USB Powered Night Light,https://www.jumia.co.ke/mythco-20-color-sunset-lampprojector-with-remote-control-usb-powered-night-light-270797207.html,610,1020,40,4.4,4
"Glamstar GMW-20LM-A (B), 20L Manual Microwave (1YR WRNTY).",https://www.jumia.co.ke/glamstar-gmw-20lm-a-b-20l-manual-microwave-1yr-wrnty.-328301230.html,5499,7999,31,4.9,4
"CYFAZA 3-Stage Knife Sharpener with Cut-Resistant Glove, Kitchen Blade Sharpening Tool for Repairing, Sharpening and Polishing",https://www.jumia.co.ke/cyfaza-3-stage-knife-sharpener-with-cut-resistant-glove-kitchen-blade-sharpening-tool-for-repairing-sharpening-and-polishing-313673995.html,299,402,26,3.8,3
"Pink Round Mosquito Net - Free Size, Polyester, Easy Assembly",https://www.jumia.co.ke/big-pink-round-mosquito-net-for-single-bed-free-size.-generic-mpg316019.html,789,1500,47,3.8,3
Double Layer Electric Egg Boiler Automatic Off 14 Egg Poacher,https://www.jumia.co.ke/generic-double-layer-electric-egg-boiler-automatic-off-14-egg-poacher-326324434.html,1070,2000,47,4.4,4
CYFAZA 200g X 0.01g Mini Digital Grams Scale Pocket Jewelry Scale Small Food Scale Kitchen,https://www.jumia.co.ke/cyfaza-200g-x-0.01g-mini-digital-grams-scale-pocket-jewelry-scale-small-food-scale-kitchen-312374461.html,525,1001,48,4.5,4
Em AUTO Ignition Table Top Stainless Steel 2 Burner Gas Cooker SGS001 (1YR WRTY).,https://www.jumia.co.ke/em-auto-ignition-table-top-stainless-steel-2-burner-gas-cooker-sgs001-1yr-wrty.-306374611.html,1399,2599,46,3.8,3
Gen 6 Pcs Stainless Steel Square Plate With Lid,https://www.jumia.co.ke/gen-6-pcs-stainless-steel-square-plate-with-lid-325389766.html,3000,4421,32,4.3,4
"CYFAZA Handheld Sewing Machine Mini Portable Cordless Stitching Machine, Perfect for Adults, Beginners, and Quick Home Repairs",https://www.jumia.co.ke/cyfaza-handheld-sewing-machine-mini-portable-cordless-stitching-machine-perfect-for-adults-beginners-and-quick-home-repairs-313556539.html,685,1323,48,3.1,3
